# Time	Flux
4.5615600000e+07 9.3299511952e+00
4.5617400000e+07 9.3259308130e+00
4.5619200000e+07 9.3179398485e+00
4.5621000000e+07 9.3155268519e+00
4.5622800000e+07 9.3121302700e+00
4.5624600000e+07 9.3189535830e+00
4.5626400000e+07 9.3132926490e+00
4.5628200000e+07 9.3288671697e+00
4.5630000000e+07 9.3390138526e+00
4.5631800000e+07 9.3455792025e+00
4.5633600000e+07 9.3338518279e+00
4.5635400000e+07 9.3287252862e+00
4.5637200000e+07 9.3404561907e+00
4.5639000000e+07 9.3201271049e+00
4.5640800000e+07 9.3195142316e+00
4.5642600000e+07 9.3274680315e+00
4.5644400000e+07 9.3291067087e+00
4.5646200000e+07 9.3147635767e+00
4.5648000000e+07 9.3168228008e+00
4.5649800000e+07 9.3174228086e+00
4.5651600000e+07 9.3035725934e+00
4.5653400000e+07 9.2919983519e+00
4.5655200000e+07 9.2860571212e+00
4.5657000000e+07 9.2766537541e+00
4.5658800000e+07 9.2670612559e+00
4.5660600000e+07 9.2541230131e+00
4.5662400000e+07 9.2706105793e+00
4.5664200000e+07 9.2725105125e+00
4.5666000000e+07 9.2542681948e+00
4.5667800000e+07 9.2458434562e+00
4.5669600000e+07 9.2316905040e+00
4.5671400000e+07 9.2129431549e+00
4.5673200000e+07 9.2047323713e+00
4.5675000000e+07 9.2129317117e+00
4.5676800000e+07 9.2285863257e+00
4.5678600000e+07 9.2432277498e+00
4.5680400000e+07 9.2362018217e+00
4.5682200000e+07 9.2335303836e+00
4.5684000000e+07 9.2327096629e+00
4.5685800000e+07 9.2312904456e+00
4.5687600000e+07 9.2303884240e+00
4.5689400000e+07 9.2238697749e+00
4.5691200000e+07 9.2081278192e+00
4.5693000000e+07 9.2098258108e+00
4.5694800000e+07 9.1936441673e+00
4.5696600000e+07 9.2026051142e+00
4.5698400000e+07 9.2043679235e+00
